doi,publisher,contributor,title,description,creator,subject,rightsURI,publicationYear,format,descriptionType,relatedIdentifier,created,updated
10.5441/001/1.26DG08HV/1,University of Konstanz,Movebank Data Repository,Great flexibility in autumn movement patterns of European Gadwalls (Anas strepera) (Gehrold et al. 2014),"Gehrold A, Bauer H-G, Fiedler W, Wikelski M (2014) Great flexibility in autumn movement patterns of European Gadwalls (Anas strepera). Journal of Avian Biology 45: 131–139. doi:10.1111/j.1600-048X.2013.00248.x,The annual migration cycle of waterbirds often involves several distinct movement stages, for example within-winter movements or the moult migration during summer, which require a high degree of individual flexibility in migration direction. Here, we investigate whether such flexibility is a common characteristic of waterbird migration by analysing movement behaviour of a dabbling duck, the gadwall Anas strepera, during the little studied, intermediate autumn period. The tracking of individuals via satellite transmitters (n = 7) as well as the ring re-encounter analysis of three European gadwall populations (Germany, England, Russia) revealed that autumn movements were multidirectional. Furthermore, the comparison with winter re-encounters suggested that autumn movements were partly independent of the movements towards subsequently used south to southwestern wintering areas. Some individuals even travelled long distances north- or eastwards. Accordingly, some autumn locations were characterized by a harsh climate, thus serving as temporary staging sites but necessitating further movements when wetlands freeze during winter. The occurrence of such detours or reversals of migration was confirmed by the transmitter data. Inter-individual variability in distance and direction of autumn movements was found for both sexes and age-classes indicating that gadwalls, in general, followed flexible movement strategies. Based on the extent of multidirectional autumn movements, we hypothesize important benefits of such flights and suggest that the analysis of year-round movement patterns of individual animals during their distinct life-history stages is essential to understand how they can successfully reproduce and survive.","Gehrold, Andrea,Wikelski, Martin","Anas strepera,animal movement,Argos,autumn migration,Gadwall,movement strategies,satellite telemetry,waterbirds,wing moult",http://creativecommons.org/publicdomain/zero/1.0/,2013,csv,"Other,Abstract","IsPartOf:DOI:10.5441/001/1.26dg08hv,IsSupplementTo:DOI:10.1111/j.1600-048X.2013.00248.x",2013-12-18T16:37:36Z,2014-04-11T18:29:19Z
10.5441/001/1.26DG08HV/2,University of Konstanz,Movebank Data Repository,Great flexibility in autumn movement patterns of European Gadwalls (Anas strepera) (Gehrold et al. 2014)-reference data,"Gehrold A, Bauer H-G, Fiedler W, Wikelski M (2014) Great flexibility in autumn movement patterns of European Gadwalls (Anas strepera). Journal of Avian Biology 45: 131–139. doi:10.1111/j.1600-048X.2013.00248.x,The annual migration cycle of waterbirds often involves several distinct movement stages, for example within-winter movements or the moult migration during summer, which require a high degree of individual flexibility in migration direction. Here, we investigate whether such flexibility is a common characteristic of waterbird migration by analysing movement behaviour of a dabbling duck, the gadwall Anas strepera, during the little studied, intermediate autumn period. The tracking of individuals via satellite transmitters (n = 7) as well as the ring re-encounter analysis of three European gadwall populations (Germany, England, Russia) revealed that autumn movements were multidirectional. Furthermore, the comparison with winter re-encounters suggested that autumn movements were partly independent of the movements towards subsequently used south to southwestern wintering areas. Some individuals even travelled long distances north- or eastwards. Accordingly, some autumn locations were characterized by a harsh climate, thus serving as temporary staging sites but necessitating further movements when wetlands freeze during winter. The occurrence of such detours or reversals of migration was confirmed by the transmitter data. Inter-individual variability in distance and direction of autumn movements was found for both sexes and age-classes indicating that gadwalls, in general, followed flexible movement strategies. Based on the extent of multidirectional autumn movements, we hypothesize important benefits of such flights and suggest that the analysis of year-round movement patterns of individual animals during their distinct life-history stages is essential to understand how they can successfully reproduce and survive.","Gehrold, Andrea,Wikelski, Martin","Anas strepera,animal movement,Argos,autumn migration,Gadwall,movement strategies,satellite telemetry,waterbirds,wing moult",http://creativecommons.org/publicdomain/zero/1.0/,2013,csv,"Other,Abstract","IsPartOf:DOI:10.5441/001/1.26dg08hv,IsSupplementTo:DOI:10.1111/j.1600-048X.2013.00248.x",2013-12-18T16:37:37Z,2014-04-11T18:30:26Z
10.5441/001/1.TB272JC1,University of Konstanz,Movebank Data Repository,Data from: Migratory connectivity and population specific migration routes in a long-distance migratory bird,"Trierweiler C, Klaassen RHG, Drent RH, Exo K-M, Komdeur J, Bairlein F, Koks BJ (2014) Migratory connectivity and population specific migration routes in a long-distance migratory bird. Proceedings of the Royal Society B 281(1778). doi:10.1098/rspb.2013.2897,Knowledge about migratory connectivity, the degree to which individuals from the same breeding site migrate to the same wintering site, is essential to understand processes affecting populations of migrants throughout the annual cycle. Here, we study the migration system of a long-distance migratory bird, the Montagu's harrier Circus pygargus, by tracking individuals from different breeding populations throughout northern Europe. We identified three main migration routes towards wintering areas in sub-Saharan Africa. Wintering areas and migration routes of different breeding populations overlapped, a pattern best described by ‘weak (diffuse) connectivity’. Migratory performance, i.e. timing, duration, distance and speed of migration, was surprisingly similar for the three routes despite differences in habitat characteristics. This study provides, to our knowledge, a first comprehensive overview of the migration system of a Palaearctic-African long-distance migrant. We emphasize the importance of spatial scale (e.g. distances between breeding populations) in defining patterns of connectivity and suggest that knowledge about fundamental aspects determining distribution patterns, such as the among-individual variation in mean migration directions, is required to ultimately understand migratory connectivity. Furthermore, we stress that for conservation purposes it is pivotal to consider wintering areas as well as migration routes and in particular stopover sites.","Trierweiler, Christiane,Klaassen, Raymond H.G.,Drent, Rudi H.,Exo, Klaus-Michael,Komdeur, Jan,Bairlein, Franz,Koks, Ben J.","animal migration,animal tracking,Argos,Circus pygargus,Montagu's harrier,satellite telemetry",http://creativecommons.org/publicdomain/zero/1.0/,2014,csv,"Other,Abstract","HasPart:DOI:10.5441/001/1.tb272jc1/1,HasPart:DOI:10.5441/001/1.tb272jc1/2,IsSupplementTo:DOI:10.1098/rspb.2013.2897",2013-12-17T17:11:55Z,2014-03-03T06:52:30Z
10.5441/001/1.TB272JC1/1,University of Konstanz,Movebank Data Repository,Data from Trierweiler et al. (2014) Proc R Soc Lond B,"Trierweiler C, Klaassen RHG, Drent RH, Exo K-M, Komdeur J, Bairlein F, Koks BJ (2014) Migratory connectivity and population specific migration routes in a long-distance migratory bird. Proceedings of the Royal Society B 281(1778). doi:10.1098/rspb.2013.2897,Knowledge about migratory connectivity, the degree to which individuals from the same breeding site migrate to the same wintering site, is essential to understand processes affecting populations of migrants throughout the annual cycle. Here, we study the migration system of a long-distance migratory bird, the Montagu's harrier Circus pygargus, by tracking individuals from different breeding populations throughout northern Europe. We identified three main migration routes towards wintering areas in sub-Saharan Africa. Wintering areas and migration routes of different breeding populations overlapped, a pattern best described by ‘weak (diffuse) connectivity’. Migratory performance, i.e. timing, duration, distance and speed of migration, was surprisingly similar for the three routes despite differences in habitat characteristics. This study provides, to our knowledge, a first comprehensive overview of the migration system of a Palaearctic-African long-distance migrant. We emphasize the importance of spatial scale (e.g. distances between breeding populations) in defining patterns of connectivity and suggest that knowledge about fundamental aspects determining distribution patterns, such as the among-individual variation in mean migration directions, is required to ultimately understand migratory connectivity. Furthermore, we stress that for conservation purposes it is pivotal to consider wintering areas as well as migration routes and in particular stopover sites.","Trierweiler, Christiane,Klaassen, Raymond H.G.,Drent, Rudi H.,Exo, Klaus-Michael,Komdeur, Jan,Bairlein, Franz,Koks, Ben J.","animal migration,animal tracking,Argos,Circus pygargus,Montagu's harrier,satellite telemetry",http://creativecommons.org/publicdomain/zero/1.0/,2013,csv,"Other,Abstract","IsPartOf:DOI:10.5441/001/1.tb272jc1,IsSupplementTo:DOI:10.1098/rspb.2013.2897",2013-12-17T17:11:58Z,2014-03-03T06:52:36Z
10.5441/001/1.TB272JC1/2,University of Konstanz,Movebank Data Repository,Data from Trierweiler et al. (2014) Proc R Soc Lond B-reference-data,"Trierweiler C, Klaassen RHG, Drent RH, Exo K-M, Komdeur J, Bairlein F, Koks BJ (2014) Migratory connectivity and population specific migration routes in a long-distance migratory bird. Proceedings of the Royal Society B 281(1778). doi:10.1098/rspb.2013.2897,Knowledge about migratory connectivity, the degree to which individuals from the same breeding site migrate to the same wintering site, is essential to understand processes affecting populations of migrants throughout the annual cycle. Here, we study the migration system of a long-distance migratory bird, the Montagu's harrier Circus pygargus, by tracking individuals from different breeding populations throughout northern Europe. We identified three main migration routes towards wintering areas in sub-Saharan Africa. Wintering areas and migration routes of different breeding populations overlapped, a pattern best described by ‘weak (diffuse) connectivity’. Migratory performance, i.e. timing, duration, distance and speed of migration, was surprisingly similar for the three routes despite differences in habitat characteristics. This study provides, to our knowledge, a first comprehensive overview of the migration system of a Palaearctic-African long-distance migrant. We emphasize the importance of spatial scale (e.g. distances between breeding populations) in defining patterns of connectivity and suggest that knowledge about fundamental aspects determining distribution patterns, such as the among-individual variation in mean migration directions, is required to ultimately understand migratory connectivity. Furthermore, we stress that for conservation purposes it is pivotal to consider wintering areas as well as migration routes and in particular stopover sites.","Trierweiler, Christiane,Klaassen, Raymond H.G.,Drent, Rudi H.,Exo, Klaus-Michael,Komdeur, Jan,Bairlein, Franz,Koks, Ben J.","animal migration,animal tracking,Argos,Circus pygargus,Montagu's harrier,satellite telemetry",http://creativecommons.org/publicdomain/zero/1.0/,2013,csv,"Other,Abstract","IsPartOf:DOI:10.5441/001/1.tb272jc1,IsSupplementTo:DOI:10.1098/rspb.2013.2897",2013-12-17T17:11:59Z,2014-03-03T06:52:43Z
10.5441/001/1.8DC0V84M/1,University of Konstanz,Movebank Data Repository,Navigation and migration in European mallards,"van Toor ML, Hedenström A, Waldenström J, Fiedler W, Holland RA, Thorup K, Wikelski M (2013) Flexibility of continental navigation and migration in European mallards. PLoS ONE v 8, i 8, e72629. doi:10.1371/journal.pone.0072629,The ontogeny of continent-wide navigation mechanisms of the individual organism, despite being crucial for the understanding of animal movement and migration, is still poorly understood. Several previous studies, mainly conducted on passerines, indicate that inexperienced, juvenile birds may not generally correct for displacement during fall migration. Waterbirds such as the mallard (Anas platyrhynchos, Linnaeus 1758) are more flexible in their migration behavior than most migratory songbirds, but previous experiments with waterbirds have not yet allowed clear conclusions about their navigation abilities. Here we tested whether immature mallard ducks correct for latitudinal displacement during fall migration within Europe. During two consecutive fall migration periods, we caught immature females on a stopover site in southeast Sweden, and translocated a group of them ca. 1,000 km to southern Germany. We followed the movements of the ducks via satellite GPS-tracking and observed their migration decisions during the fall and consecutive spring migration. The control animals released in Ottenby behaved as expected from banding recoveries: they continued migration during the winter and in spring returned to the population’s breeding grounds in the Baltics and Northwest Russia. Contrary to the control animals, the translocated mallards did not continue migration and stayed at Lake Constance. In spring, three types of movement tactics could be observed: 61.5% of the ducks (16 of 26) stayed around Lake Constance, 27% (7 of 26) migrated in a northerly direction towards Sweden and 11.5% of the individuals (3 of 26) headed east for ca. 1,000 km and then north. We suggest that young female mallards flexibly adjust their migration tactics and develop a navigational map that allows them to return to their natal breeding area.","Matthes, Doris,Latorre-Margalef, Neus,Schmidt, Andreas,Waldenström, Jonas,Wikelski, Martin,van Toor, Mariëlle L.","Anas platyrhynchos,animal migration,animal navigation,Argos,Europe,mallard,satellite telemetry",http://creativecommons.org/publicdomain/zero/1.0/,2013,csv,"Other,Abstract","IsPartOf:DOI:10.5441/001/1.8dc0v84m,IsSupplementTo:DOI:10.1371/journal.pone.0072629",2013-11-06T09:20:34Z,2014-03-03T06:48:51Z
10.5441/001/1.8DC0V84M/2,University of Konstanz,Movebank Data Repository,Navigation and migration in European mallards-reference data,"van Toor ML, Hedenström A, Waldenström J, Fiedler W, Holland RA, Thorup K, Wikelski M (2013) Flexibility of continental navigation and migration in European mallards. PLoS ONE v 8, i 8, e72629. doi:10.1371/journal.pone.0072629,van Toor ML, Hedenström A, Waldenström J, Fiedler W, Holland RA, Thorup K, Wikelski M (2013) Flexibility of continental navigation and migration in European mallards. PLoS ONE v 8, i 8, e72629. doi:10.1371/journal.pone.0072629,The ontogeny of continent-wide navigation mechanisms of the individual organism, despite being crucial for the understanding of animal movement and migration, is still poorly understood. Several previous studies, mainly conducted on passerines, indicate that inexperienced, juvenile birds may not generally correct for displacement during fall migration. Waterbirds such as the mallard (Anas platyrhynchos, Linnaeus 1758) are more flexible in their migration behavior than most migratory songbirds, but previous experiments with waterbirds have not yet allowed clear conclusions about their navigation abilities. Here we tested whether immature mallard ducks correct for latitudinal displacement during fall migration within Europe. During two consecutive fall migration periods, we caught immature females on a stopover site in southeast Sweden, and translocated a group of them ca. 1,000 km to southern Germany. We followed the movements of the ducks via satellite GPS-tracking and observed their migration decisions during the fall and consecutive spring migration. The control animals released in Ottenby behaved as expected from banding recoveries: they continued migration during the winter and in spring returned to the population’s breeding grounds in the Baltics and Northwest Russia. Contrary to the control animals, the translocated mallards did not continue migration and stayed at Lake Constance. In spring, three types of movement tactics could be observed: 61.5% of the ducks (16 of 26) stayed around Lake Constance, 27% (7 of 26) migrated in a northerly direction towards Sweden and 11.5% of the individuals (3 of 26) headed east for ca. 1,000 km and then north. We suggest that young female mallards flexibly adjust their migration tactics and develop a navigational map that allows them to return to their natal breeding area.","Matthes, Doris,Latorre-Margalef, Neus,Schmidt, Andreas,Waldenström, Jonas,Wikelski, Martin,van Toor, Mariëlle L.","Anas platyrhynchos,animal migration,animal navigation,Argos,Europe,mallard,satellite telemetry",http://creativecommons.org/publicdomain/zero/1.0/,2013,csv,"Other,Other,Abstract","IsPartOf:DOI:10.5441/001/1.8dc0v84m,IsSupplementTo:DOI:10.1371/journal.pone.0072629",2013-11-06T09:20:37Z,2014-03-03T06:48:59Z
10.5441/001/1.8DC0V84M,University of Konstanz,Movebank Data Repository,Data from: Flexibility of continental navigation and migration in European mallards,"van Toor ML, Hedenström A, Waldenström J, Fiedler W, Holland RA, Thorup K, Wikelski M (2013) Flexibility of continental navigation and migration in European mallards. PLoS ONE v 8, i 8, e72629. doi:10.1371/journal.pone.0072629,van Toor ML, Hedenström A, Waldenström J, Fiedler W, Holland RA, Thorup K, Wikelski M (2013) Flexibility of continental navigation and migration in European mallards. PLoS ONE v 8, i 8, e72629. doi:10.1371/journal.pone.0072629,The ontogeny of continent-wide navigation mechanisms of the individual organism, despite being crucial for the understanding of animal movement and migration, is still poorly understood. Several previous studies, mainly conducted on passerines, indicate that inexperienced, juvenile birds may not generally correct for displacement during fall migration. Waterbirds such as the mallard (Anas platyrhynchos, Linnaeus 1758) are more flexible in their migration behavior than most migratory songbirds, but previous experiments with waterbirds have not yet allowed clear conclusions about their navigation abilities. Here we tested whether immature mallard ducks correct for latitudinal displacement during fall migration within Europe. During two consecutive fall migration periods, we caught immature females on a stopover site in southeast Sweden, and translocated a group of them ca. 1,000 km to southern Germany. We followed the movements of the ducks via satellite GPS-tracking and observed their migration decisions during the fall and consecutive spring migration. The control animals released in Ottenby behaved as expected from banding recoveries: they continued migration during the winter and in spring returned to the population’s breeding grounds in the Baltics and Northwest Russia. Contrary to the control animals, the translocated mallards did not continue migration and stayed at Lake Constance. In spring, three types of movement tactics could be observed: 61.5% of the ducks (16 of 26) stayed around Lake Constance, 27% (7 of 26) migrated in a northerly direction towards Sweden and 11.5% of the individuals (3 of 26) headed east for ca. 1,000 km and then north. We suggest that young female mallards flexibly adjust their migration tactics and develop a navigational map that allows them to return to their natal breeding area.","Matthes, Doris,Latorre-Margalef, Neus,Schmidt, Andreas,Waldenström, Jonas,Wikelski, Martin,van Toor, Mariëlle L.","Anas platyrhynchos,animal migration,animal navigation,Argos,Europe,mallard,satellite telemetry",http://creativecommons.org/publicdomain/zero/1.0/,2013,csv,"Other,Other,Abstract","HasPart:DOI:10.5441/001/1.8dc0v84m/1,HasPart:DOI:10.5441/001/1.8dc0v84m/2,IsSupplementTo:DOI:10.1371/journal.pone.0072629",2013-11-06T09:22:23Z,2014-03-03T06:48:44Z
10.5441/001/1.9T0M888Q,University of Konstanz,Movebank Data Repository,Data from: Thieving rodents as substitute dispersers of megafaunal seeds,"Jansen PA, Hirsch BT, Emsens W, Zamora-Gutierrez V, Wikelski M, Kays RW (2012) Data from: Thieving rodents as substitute dispersers of megafaunal seeds. PNAS 109(31) 12610-12615. doi:10.1073/pnas.1205184109,The Neotropics have many plant species that seem to be adapted for seed dispersal by megafauna that went extinct in the late Pleistocene. Given the crucial importance of seed dispersal for plant persistence, it remains a mystery how these plants have survived more than 10,000 y without their mutualist dispersers. Here we present support for the hypothesis that secondary seed dispersal by scatter-hoarding rodents has facilitated the persistence of these large-seeded species. We used miniature radio transmitters to track the dispersal of reputedly megafaunal seeds by Central American agoutis, which scatter-hoard seeds in shallow caches in the soil throughout the forest. We found that seeds were initially cached at mostly short distances and then quickly dug up again. However, rather than eating the recovered seeds, agoutis continued to move and recache the seeds, up to 36 times. Agoutis dispersed an estimated 35% of seeds for >100 m. An estimated 14% of the cached seeds survived to the next year, when a new fruit crop became available to the rodents. Serial video-monitoring of cached seeds revealed that the stepwise dispersal was caused by agoutis repeatedly stealing and recaching each other’s buried seeds. Although previous studies suggest that rodents are poor dispersers, we demonstrate that communities of rodents can in fact provide highly effective long-distance seed dispersal. Our findings suggest that thieving scatter-hoarding rodents could substitute for extinct megafaunal seed dispersers of tropical large-seeded trees.","Jansen, Patrick A.,Hirsch, Ben T.,Emsens, Willem-Jan,Zamora-Gutierrez, Veronica,Wikelski, Martin,Kays, Roland W.","seed dispersal,radio telemetry,cocosoid palms,agoutis,Panama,Neotropics",http://creativecommons.org/publicdomain/zero/1.0/,2012,csv,"Other,Abstract","HasPart:DOI:10.5441/001/1.9t0m888q/2,HasPart:DOI:10.5441/001/1.9t0m888q/4,IsSupplementTo:DOI:10.1073/pnas.1205184109",2012-06-27T16:43:16Z,2014-03-03T06:49:16Z
10.5441/001/1.9T0M888Q/2,University of Konstanz,Movebank Data Repository,Astrocaryum standleyanum Roland Kays BCI Panama-metadata,"Jansen PA, Hirsch BT, Emsens W, Zamora-Gutierrez V, Wikelski M, Kays RW (2012) Data from: Thieving rodents as substitute dispersers of megafaunal seeds. PNAS 109(31) 12610-12615. doi:10.1073/pnas.1205184109,The Neotropics have many plant species that seem to be adapted for seed dispersal by megafauna that went extinct in the late Pleistocene. Given the crucial importance of seed dispersal for plant persistence, it remains a mystery how these plants have survived more than 10,000 y without their mutualist dispersers. Here we present support for the hypothesis that secondary seed dispersal by scatter-hoarding rodents has facilitated the persistence of these large-seeded species. We used miniature radio transmitters to track the dispersal of reputedly megafaunal seeds by Central American agoutis, which scatter-hoard seeds in shallow caches in the soil throughout the forest. We found that seeds were initially cached at mostly short distances and then quickly dug up again. However, rather than eating the recovered seeds, agoutis continued to move and recache the seeds, up to 36 times. Agoutis dispersed an estimated 35% of seeds for >100 m. An estimated 14% of the cached seeds survived to the next year, when a new fruit crop became available to the rodents. Serial video-monitoring of cached seeds revealed that the stepwise dispersal was caused by agoutis repeatedly stealing and recaching each other’s buried seeds. Although previous studies suggest that rodents are poor dispersers, we demonstrate that communities of rodents can in fact provide highly effective long-distance seed dispersal. Our findings suggest that thieving scatter-hoarding rodents could substitute for extinct megafaunal seed dispersers of tropical large-seeded trees.","Jansen, Patrick A.,Hirsch, Ben T.,Emsens, Willem-Jan,Zamora-Gutierrez, Veronica,Wikelski, Martin,Kays, Roland W.","seed dispersal,radio telemetry,cocosoid palms,agoutis,Panama,Neotropics",http://creativecommons.org/publicdomain/zero/1.0/,2012,csv,"Other,Abstract","IsPartOf:DOI:10.5441/001/1.9t0m888q,IsSupplementTo:DOI:10.1073/pnas.1205184109",2012-06-27T16:43:18Z,2014-03-03T06:49:26Z
10.5441/001/1.9T0M888Q/4,University of Konstanz,Movebank Data Repository,Astrocaryum standleyanum Roland Kays BCI Panama,"Jansen PA, Hirsch BT, Emsens W, Zamora-Gutierrez V, Wikelski M, Kays RW (2012) Data from: Thieving rodents as substitute dispersers of megafaunal seeds. PNAS 109(31) 12610-12615. doi:10.1073/pnas.1205184109,The Neotropics have many plant species that seem to be adapted for seed dispersal by megafauna that went extinct in the late Pleistocene. Given the crucial importance of seed dispersal for plant persistence, it remains a mystery how these plants have survived more than 10,000 y without their mutualist dispersers. Here we present support for the hypothesis that secondary seed dispersal by scatter-hoarding rodents has facilitated the persistence of these large-seeded species. We used miniature radio transmitters to track the dispersal of reputedly megafaunal seeds by Central American agoutis, which scatter-hoard seeds in shallow caches in the soil throughout the forest. We found that seeds were initially cached at mostly short distances and then quickly dug up again. However, rather than eating the recovered seeds, agoutis continued to move and recache the seeds, up to 36 times. Agoutis dispersed an estimated 35% of seeds for >100 m. An estimated 14% of the cached seeds survived to the next year, when a new fruit crop became available to the rodents. Serial video-monitoring of cached seeds revealed that the stepwise dispersal was caused by agoutis repeatedly stealing and recaching each other’s buried seeds. Although previous studies suggest that rodents are poor dispersers, we demonstrate that communities of rodents can in fact provide highly effective long-distance seed dispersal. Our findings suggest that thieving scatter-hoarding rodents could substitute for extinct megafaunal seed dispersers of tropical large-seeded trees.","Jansen, Patrick A.,Hirsch, Ben T.,Emsens, Willem-Jan,Zamora-Gutierrez, Veronica,Wikelski, Martin,Kays, Roland W.","seed dispersal,radio telemetry,cocosoid palms,agoutis,Panama,Neotropics",http://creativecommons.org/publicdomain/zero/1.0/,2012,csv,"Other,Abstract","IsPartOf:DOI:10.5441/001/1.9t0m888q,IsSupplementTo:DOI:10.1073/pnas.1205184109",2012-06-27T16:43:21Z,2014-03-03T06:49:34Z
10.5441/001/1.35FS26KQ,University of Konstanz,Movebank Data Repository,Data from: The secret life of oilbirds: new insights into the movement ecology of a unique avian frugivore,"Holland RA, Wikelski M, Kuemmeth F, Bosque C (2012) The secret life of oilbirds: new insights into the movement ecology of a unique avian frugivore. PLoS ONE 4(12): e8264. doi:10.1371/journal.pone.0008264,Background: Steatornis caripensis (the oilbird) is a very unusual bird. It supposedly never sees daylight, roosting in huge aggregations in caves during the day and bringing back fruit to the cave at night. As a consequence a large number of the seeds from the fruit they feed upon germinate in the cave and spoil.\r\nMethodology/Principal Findings: Here we use newly developed GPS/acceleration loggers with remote UHF readout to show that several assumptions about the behaviour of Steatornis caripensis need to be revised. On average, they spend only every 3rd day in a cave, individuals spent most days sitting quietly in trees in the rainforest where they regurgitate seeds.\r\nConclusions/Significance: This provides new data on the extent of seed dispersal and the movement ecology of Steatornis caripensis. It suggests that Steatornis caripensis is perhaps the most important long-distance seed disperser in Neotropical forests. We also show that colony-living comes with high activity costs to individuals.","Holland, Richard A.,Wikelski, Martin,Kuemmeth, Franz,Bosque, Carlos","Venezuela,seed dispersal",http://creativecommons.org/publicdomain/zero/1.0/,2009,csv,"Other,Abstract","HasPart:DOI:10.5441/001/1.35fs26kq/1,HasPart:DOI:10.5441/001/1.35fs26kq/2,IsSupplementTo:DOI:10.1371/journal.pone.0008264",2012-03-15T14:52:12Z,2014-03-03T06:46:54Z
10.5441/001/1.35FS26KQ/1,University of Konstanz,Movebank Data Repository,Oilbirds,"Holland RA, Wikelski M, Kuemmeth F, Bosque C (2012) The secret life of oilbirds: new insights into the movement ecology of a unique avian frugivore. PLoS ONE 4(12): e8264. doi:10.1371/journal.pone.0008264,Background: Steatornis caripensis (the oilbird) is a very unusual bird. It supposedly never sees daylight, roosting in huge aggregations in caves during the day and bringing back fruit to the cave at night. As a consequence a large number of the seeds from the fruit they feed upon germinate in the cave and spoil.\r\nMethodology/Principal Findings: Here we use newly developed GPS/acceleration loggers with remote UHF readout to show that several assumptions about the behaviour of Steatornis caripensis need to be revised. On average, they spend only every 3rd day in a cave, individuals spent most days sitting quietly in trees in the rainforest where they regurgitate seeds.\r\nConclusions/Significance: This provides new data on the extent of seed dispersal and the movement ecology of Steatornis caripensis. It suggests that Steatornis caripensis is perhaps the most important long-distance seed disperser in Neotropical forests. We also show that colony-living comes with high activity costs to individuals.","Holland, Richard A.,Wikelski, Martin,Kuemmeth, Franz,Bosque, Carlos","Venezuela,seed dispersal",http://creativecommons.org/publicdomain/zero/1.0/,2012,csv,"Other,Abstract","IsPartOf:DOI:10.5441/001/1.35fs26kq,IsSupplementTo:DOI:10.1371/journal.pone.0008264",2012-03-15T14:52:15Z,2014-03-03T06:47:00Z
10.5441/001/1.35FS26KQ/2,University of Konstanz,Movebank Data Repository,Oilbirds-metadata,"Holland RA, Wikelski M, Kuemmeth F, Bosque C (2012) The secret life of oilbirds: new insights into the movement ecology of a unique avian frugivore. PLoS ONE 4(12): e8264. doi:10.1371/journal.pone.0008264,Background: Steatornis caripensis (the oilbird) is a very unusual bird. It supposedly never sees daylight, roosting in huge aggregations in caves during the day and bringing back fruit to the cave at night. As a consequence a large number of the seeds from the fruit they feed upon germinate in the cave and spoil.\r\nMethodology/Principal Findings: Here we use newly developed GPS/acceleration loggers with remote UHF readout to show that several assumptions about the behaviour of Steatornis caripensis need to be revised. On average, they spend only every 3rd day in a cave, individuals spent most days sitting quietly in trees in the rainforest where they regurgitate seeds.\r\nConclusions/Significance: This provides new data on the extent of seed dispersal and the movement ecology of Steatornis caripensis. It suggests that Steatornis caripensis is perhaps the most important long-distance seed disperser in Neotropical forests. We also show that colony-living comes with high activity costs to individuals.","Holland, Richard A.,Wikelski, Martin,Kuemmeth, Franz,Bosque, Carlos","Venezuela,seed dispersal",http://creativecommons.org/publicdomain/zero/1.0/,2012,csv,"Other,Abstract","IsPartOf:DOI:10.5441/001/1.35fs26kq,IsSupplementTo:DOI:10.1371/journal.pone.0008264",2012-03-15T14:52:16Z,2014-03-03T06:47:06Z
10.5441/001/1.62R58302,University of Konstanz,Movebank Data Repository,Data from: The effect of feeding time on dispersal of Virola seeds by toucans determined from GPS tracking and accelerometers,"Kays R, Jansen PA, Knecht EMH, Vohwinkel R, Wikelski R (2011) The effect of feeding time on dispersal of Virola seeds by toucans determined from GPS tracking and accelerometers. Acta Oecologica v. 37, i. 6, p. 625-631. doi:10.1016/j.actao.2011.06.007,Seed dispersal is critical to understanding forest dynamics but is hard to study because tracking seeds is difficult. Even for the best-studied dispersal system of the Neotropics, Virola nobilis, the dispersal kernel remains unknown. We combined high-resolution GPS/3D-acceleration bird tracking, seed-retention experiments, and field observations to quantify dispersal of V. nobilis by their principal dispersers, Ramphastos toucans. We inferred feeding events from movement data, and then estimated spatio-temporally explicit seed-dispersal kernels. Wild toucans moved an average of 1.8 km d−1 with two distinct activity peaks. Seed retention time in captive toucans averaged 25.5 min (range 4–98 min). Estimated seed dispersal distance averaged 144 ± 147 m, with a 56% likelihood of dispersal >100 m, two times further than the behaviour-naive estimate from the same data. Dispersal was furthest for seeds ingested in the morning, and increased with seed retention time, but only up to 60 min after feeding. Our study supports the long-standing hypothesis that toucans are excellent dispersers of Virola seeds. To maximize seed dispersal distances trees should ripen fruit in the morning when birds move the most, and produce fruits with gut-processing times around 60 min. Our study demonstrates how new tracking technology can yield nuanced seed dispersal kernels for animals that cannot be directly observed.","Kays, Roland,Jansen, Patrick A.,Knecht, Elise M.H.,Vohwinkel, Reinhard,Wikelski, Martin","seed dispersal kernel,regurgitation time,GPS tracking,accelerometer,tropical forests",http://creativecommons.org/publicdomain/zero/1.0/,2011,csv,"Other,Abstract","HasPart:DOI:10.5441/001/1.62r58302/1,HasPart:DOI:10.5441/001/1.62r58302/2,IsSupplementTo:DOI:10.1016/j.actao.2011.06.007,IsPreviousVersionOf:DOI:10.5441/001/1.f32gn841",2012-03-20T15:20:20Z,2016-01-12T19:14:34Z
